indexk,qx,qy,g2EPW,g2W90,g2W90long,g2W90tran,susRe,susIm,d2EPW,d2W90,d2W90long,d2W90tran
1393,0.0822,-0.7687,1.1290538689175044e8,73115.36039690838,33397.66266467544,39717.69773223242,-27596.881935953632,31081.087296203903,-3.5392073962762713e8,-171496.09492894367,-77677.67129641131,-93818.42363253108
1394,0.0986,-0.7592,1.0077990631693359e8,72594.52246733951,34310.572771693456,38283.94969564619,-27409.900077198243,31322.975754695348,-3.1650814127283823e8,-169019.84554655963,-77867.35921603993,-91152.48633051956
1395,0.1151,-0.7497,8.97983741505216e7,72003.24272976432,35275.07204660638,36728.17068315797,-27117.776948673596,28739.908615055014,-2.7256182408564144e8,-165744.7159542836,-78579.21711852196,-87165.49883576175
1396,0.1315,-0.7403,8.008813315856047e7,71360.49899017668,36280.701336464575,35079.79765371239,-26716.301151895364,25461.933850224465,-2.280355240196791e8,-161982.81606957197,-79126.60368271658,-82856.21238685478
1397,0.1479,-0.7308,7.156432705608481e7,70684.26241231282,37319.874864797006,33364.38754751616,-26327.181542896746,23971.617027321518,-1.8932971904263285e8,-158838.53613034947,-79570.15314819265,-79268.3829821572
1398,0.1644,-0.7213,6.406724846318176e7,69991.29014483858,38381.90778020993,31609.38236462901,-26069.09024330284,23636.94538533936,-1.580440063090507e8,-157134.03269176444,-80370.54581359735,-76763.486878166
1399,0.1808,-0.7118,5.743526623562927e7,69297.12064528366,39447.62809896429,29849.49254631955,-25862.440386811377,24151.057761836382,-1.3258745529664695e8,-156219.36595573966,-81055.9440269324,-75163.42192880707
1400,0.1973,-0.7023,5.154163840077286e7,68616.21504208192,40503.970544317664,28112.244497764434,-25639.917480558248,25312.517651673672,-1.1156845535117193e8,-155439.06068896042,-81440.17528547691,-73998.88540348328
1401,0.2137,-0.6928,4.6291836704266496e7,67962.15289440291,41527.971989312085,26434.18090509081,-25444.72470294184,27177.877464468223,-9.445223880168325e7,-154444.15871816996,-82290.73777324727,-72153.42094492205
1402,0.2301,-0.6833,381068.39042377134,67347.77576117544,42502.17251895202,24845.603242223195,-24938.70967579381,26626.49040498527,-735934.5533882977,-149444.17975100013,-82623.00548592949,-66821.17426507088
1403,0.2466,-0.6738,14871.230202477824,66785.18811763714,43408.647432407095,23376.540685229887,-24090.077729914687,20817.008077042014,-27440.824346381178,-139532.90516777383,-82600.55838904326,-56932.346778730614
1404,0.263,-0.6643,4537.215956735959,66285.57431346017,44224.714836775755,22060.859476684323,-23316.207660121396,17415.991391316984,-8080.914383241806,-129536.17890805089,-83037.7899314129,-46498.38897663724
1405,0.2794,-0.6548,2108.5726795260316,65858.85951919584,44934.68175981213,20924.17775938389,-22713.601564948498,16652.926195546937,-3650.688065363198,-121696.13708122357,-83466.51205177637,-38229.62502944716
1406,0.2959,-0.6454,1188.471526113726,65513.30614429534,45523.52608346114,19989.7800608339,-22252.140005010955,16757.70140503632,-2011.8295413174685,-115870.04577080964,-83682.77251530706,-32187.27325550226
1407,0.3123,-0.6359,767.1161521349629,65255.167158117474,45976.88390850723,19278.283249609754,-21990.242371114655,16786.649880513094,-1279.3070407226523,-112230.30361313939,-84211.94571488358,-28018.35789825597
1408,0.3288,-0.6264,567.8786017204492,65088.49918534582,46285.81901781244,18802.6801675336,-21831.393202569874,16937.43631012585,-936.8281811736956,-109941.26222586003,-84598.84677077571,-25342.41545508416
1409,0.3452,-0.6169,492.8225898672266,65015.178576748185,46442.20827850951,18572.970298238997,-21716.25434470275,16952.634637281048,-808.344357780735,-108572.99548520739,-84560.69671654512,-24012.298768662076
1410,0.3616,-0.6074,505.4516650099741,65035.09097434134,46443.34470575006,18591.746268590872,-21730.89562162153,16950.077897636646,-829.8272709532721,-108647.8439067592,-84609.15544973777,-24038.68845702122
1411,0.3781,-0.5979,599.6048116832028,65146.41290616306,46288.94347565066,18857.46943051161,-21867.913455999944,16940.234753580276,-991.5829889865493,-110110.71758422471,-84690.36797116078,-25420.349613063783
1412,0.3945,-0.5884,795.8141848696586,65345.89390364511,45983.34855799616,19362.54534564864,-22070.884404858483,16840.309915013644,-1332.1064455754588,-112573.9910638773,-84404.32306846036,-28169.667995416356
1413,0.4109,-0.5789,1160.30520113045,65629.07668749387,45533.739329825396,20095.337357668595,-22401.811865881507,16997.94026759641,-1974.325978530014,-116519.59632920184,-84030.07543945,-32489.52088975158
1414,0.4274,-0.5694,1883.4081871434275,65990.43761190512,44949.63674574326,21040.8008661616,-22923.278058796877,17226.07457574059,-3280.759678152176,-122770.32796765177,-83955.53764409423,-38814.79032355664
1415,0.4438,-0.5599,3646.511269269442,66423.46170592702,44246.646848423676,22176.81485750302,-23572.024812494583,18186.746236535553,-6538.004913642385,-131154.9204765714,-83618.11576624218,-47536.80471032881
1416,0.4603,-0.5504,10615.1965288013,66920.67189489651,43438.43963270907,23482.23226218731,-24381.018698343072,21716.782691706063,-19722.014577462727,-141742.3718696699,-83229.89497603316,-58512.476893637424
1417,0.4767,-0.541,231434.049230571,67473.61768609096,42546.76484293031,24926.85284316123,-25235.209235486407,27530.050855595928,-449747.32598517387,-151864.32740350795,-83282.30055478716,-68582.02684872065
1418,0.4931,-0.5315,4.5728038665790506e7,68072.81638166735,41586.717352143474,26486.09902952364,-25708.260159139376,27497.30763205167,-9.387306232693203e7,-156504.59660614675,-82949.2797713045,-73555.31683484264
1419,0.5096,-0.522,5.084802790344877e7,68707.64758486977,40577.14550021385,28130.50208465638,-25876.288717089825,25278.575430396715,-1.108565902216727e8,-157104.60670254522,-82154.02958366605,-74950.57711887902
1420,0.526,-0.5125,5.659672385468197e7,69366.2292420011,39539.92421630504,29826.30502569536,-26055.705168496923,23977.778416062913,-1.3164704220231417e8,-157409.62292791886,-81684.08259192255,-75725.54033599579
1421,0.5425,-0.503,6.30602982758306e7,70035.33110952328,38489.90177810522,31545.429331418127,-26239.800169030914,23448.236848058732,-1.5679038259361514e8,-158010.9748275778,-80996.88813263281,-77014.08669494484
1422,0.5589,-0.4935,7.036531649192981e7,70700.38585411926,37446.14269352029,33254.24316059863,-26480.498767759913,23882.874616491725,-1.8755684623598182e8,-159453.2116110995,-80213.75059101768,-79239.46102008176
1423,0.5753,-0.484,7.867163323777117e7,71345.6301982875,36421.30594020127,34924.32425808677,-26851.721743672242,25605.682905148213,-2.2538491712428284e8,-162353.11288010402,-79804.09753479202,-82549.01534531212
