"indexk","kx","ky","band"
618,0.,0.228,2.7079
619,0.,0.2736,2.8293
620,0.,0.3192,2.8392
621,0.,0.3648,2.7304
622,0.,0.4104,2.5768
623,0.,0.456,2.4588
624,0.,0.5016,2.3789
625,0.,0.5472,2.4403
626,0.,0.5928,2.5139
627,0.,0.6384,2.5823
628,0.,0.684,2.6444
629,0.,0.7296,2.6991
630,0.,0.7752,2.6071
631,0.0574,-0.7752,2.5847
632,0.0574,-0.7296,2.6044
633,0.0574,-0.684,2.5461
634,0.0574,-0.6384,2.4846
635,0.0574,-0.5928,2.422
636,0.0574,-0.5472,2.3785
637,0.0574,-0.5016,2.4003
638,0.0574,-0.456,2.4756
639,0.0574,-0.4104,2.5919
640,0.0574,-0.3648,2.7082
641,0.0574,-0.3192,2.6907
642,0.0574,-0.2736,2.6664
643,0.0574,-0.228,2.6245
644,0.0574,-0.1824,2.5421
645,0.0574,-0.1368,2.4227
646,0.0574,-0.0912,2.2972
647,0.0574,-0.0456,2.1989
648,0.0574,0.,2.1609
649,0.0574,0.0456,2.1989
650,0.0574,0.0912,2.2972
651,0.0574,0.1368,2.4227
652,0.0574,0.1824,2.5421
653,0.0574,0.228,2.6245
654,0.0574,0.2736,2.6664
655,0.0574,0.3192,2.6907
656,0.0574,0.3648,2.7082
657,0.0574,0.4104,2.5919
658,0.0574,0.456,2.4756
659,0.0574,0.5016,2.4003
660,0.0574,0.5472,2.3785
661,0.0574,0.5928,2.422
662,0.0574,0.6384,2.4846
663,0.0574,0.684,2.5461
664,0.0574,0.7296,2.6044
665,0.0574,0.7752,2.5847
666,0.1147,-0.7752,2.3134
667,0.1147,-0.7296,2.3518
668,0.1147,-0.684,2.3807
669,0.1147,-0.6384,2.4004
670,0.1147,-0.5928,2.3929
671,0.1147,-0.5472,2.3955
672,0.1147,-0.5016,2.4116
673,0.1147,-0.456,2.403
674,0.1147,-0.4104,2.39
675,0.1147,-0.3648,2.3739
676,0.1147,-0.3192,2.3556
677,0.1147,-0.2736,2.3359
678,0.1147,-0.228,2.315
679,0.1147,-0.1824,2.2917
680,0.1147,-0.1368,2.2624
681,0.1147,-0.0912,2.2194
682,0.1147,-0.0456,2.1674
683,0.1147,0.,2.1423
684,0.1147,0.0456,2.1674
685,0.1147,0.0912,2.2194
686,0.1147,0.1368,2.2624
687,0.1147,0.1824,2.2917
688,0.1147,0.228,2.315
689,0.1147,0.2736,2.3359
