indexk,kx,ky,g2EPW,g2W90,susRe,susIm,d2EPW,d2W90
3368,-0.2959,-0.6454,5.1364248628179595e7,30549.25157306852,-19372.63802072678,38.663386529652826,-1.4310054480829695e8,-62180.02125343054
3369,-0.2794,-0.6359,4.8414660500987336e7,29399.19223405686,-18692.56332470572,19.79883235272087,-1.3057876918465818e8,-58182.066066885534
3370,-0.263,-0.6264,4.538225618868746e7,28745.710679912594,-18186.576304189195,11.555124691377303,-1.185844070109569e8,-55573.6208743105
3371,-0.2466,-0.6169,4.238061159682003e7,28734.32693053057,-17832.044025875464,7.745056469393989,-1.0764385432285506e8,-54408.810783446614
3372,-0.2301,-0.6074,3.9505198188044205e7,29528.04252312676,-17616.226966490147,6.008296597306948,-9.79335492182923e7,-54826.35771237931
3373,-0.2137,-0.5979,3.679723050247065e7,31281.95674221509,-17546.841951424987,5.520918033827061,-8.939401009079422e7,-57059.107089254314
3374,-0.1973,-0.5884,3.4235415566665635e7,34110.0340601899,-17626.204822341384,6.05444044804858,-8.173133070717353e7,-61326.412870199114
3375,-0.1808,-0.5789,3.175882806408734e7,38050.68057765114,-17865.97852185671,7.986535510645766,-7.478249933830164e7,-67853.81193348487
3376,-0.1644,-0.5694,2.9307798915394507e7,43040.15780469395,-18289.254507960803,12.768534989049318,-6.847410648234612e7,-76865.65265956282
3377,-0.1479,-0.5599,2.686037491689939e7,48902.4741554274,-18943.886130675324,25.12847870046238,-6.272464550785176e7,-88650.63041216637
3378,-0.1315,-0.5504,2.444626016671973e7,55360.89137330834,-19883.163461919998,60.399782024140535,-5.748573469096177e7,-103511.66447409567
3379,-0.1151,-0.541,2.213546076833271e7,62070.34605803531,-21192.117766541764,174.640455772643,-5.288370670983595e7,-121928.46406422264
3380,-0.0986,-0.5315,2.001380245108388e7,68663.78626320367,-23030.305778450205,598.3008795229285,-4.9210681755347945e7,-144889.3437278251
3381,-0.0822,-0.522,1.8161167933927104e7,74801.07714578738,-25723.851662489822,2394.2640562216825,-4.694297095336666e7,-174620.201273436
3382,-0.0658,-0.5125,1.6639594165117122e7,80208.63335367903,-29981.596473201305,10817.51473147382,-4.688846269356108e7,-216264.61638312152
3383,-0.0493,-0.503,1.5486770802902764e7,84701.62372439817,-37280.2593661182,50473.791764292626,-5.02200086178464e7,-280609.1131801639
3384,-0.0329,-0.4935,1.4707269684456049e7,88186.82041985793,-49232.06307662319,192017.0435435641,-5.6715306231209666e7,-377717.77503199753
3385,-0.0164,-0.484,1.4261575128216831e7,90650.29322444691,-58813.402527362465,319207.78357116564,-5.8489773234505385e7,-448821.8679907415
3386,0,-0.4745,1.4063266253096996e7,92137.67681540544,-53357.24300656505,148068.2000853857,-4.848749799485666e7,-401616.65484961343
3387,0.0164,-0.465,1.3995951403834835e7,92734.76086393198,-43573.590831857284,35336.62407772124,-3.863367738455582e7,-323830.8956118926
3388,0.0329,-0.4555,1.3950038726769615e7,92553.33610768462,-36636.173517506446,7389.944044014056,-3.2728471258062445e7,-268901.9112539113
3389,0.0493,-0.4461,1.3863278412073232e7,91723.30985645895,-32061.102443725726,1614.5900774000386,-2.9287124991591122e7,-231700.66988027655
3390,0.0658,-0.4366,1.374175009212809e7,90388.87433549612,-28869.24482328681,381.7219342920715,-2.7015772248208284e7,-204611.7949003354
3391,0.0822,-0.4271,1.3647054491123492e7,88705.14263536016,-26496.185345116424,100.26512818848103,-2.51849626647259e7,-183585.06592052494
3392,0.0986,-0.4176,1.3655670943594195e7,86832.38095192247,-24695.4420220425,30.278442033078647,-2.364696350930729e7,-166962.1216081524
3393,0.1151,-0.4081,1.381356005444907e7,84927.10036215279,-23325.40624957473,10.622777853175311,-2.2309385730712984e7,-153820.4203554288
3394,0.1315,-0.3986,1.411092897720573e7,83131.60221434128,-22283.081178759003,4.350571974522526,-2.108690076719675e7,-143506.42788544556
3395,0.1479,-0.3891,1.4487792788836123e7,81564.90710845159,-21502.475380772834,2.094727225710856,-1.9972765835391473e7,-135609.02787798533
3396,0.1644,-0.3796,1.486144356497893e7,80317.68800523647,-20956.328763869707,1.2130721901100574,-1.9034644722416393e7,-129954.48941383878
3397,0.1808,-0.3701,1.515614595322847e7,79452.16618029817,-20603.057873461374,0.8385527461719363,-1.8342795544602983e7,-126265.44003559602
3398,0.1973,-0.3606,1.531970220530704e7,79005.83126582517,-20429.994577979913,0.6971615941880869,-1.799109454158343e7,-124448.67042099728
3399,0.2137,-0.3511,1.5325445716371711e7,78996.37330980663,-20427.3895695427,0.6972027552265884,-1.8020395094354205e7,-124434.59441767941
3400,0.2301,-0.3417,1.5169425298408225e7,79424.99301724702,-20595.114709447014,0.8385497665657513,-1.842394707418256e7,-126224.68930261047
3401,0.2466,-0.3322,1.487218181785816e7,80276.2936250609,-20942.363163451242,1.2131483174713893,-1.9146742055526342e7,-129889.29099671528
3402,0.263,-0.3227,1.4484240144081328e7,81514.75326763929,-21481.355283761008,2.094786462715699,-2.0082889390744787e7,-135522.75015007678
3403,0.2794,-0.3132,1.4084636928752044e7,83079.58610665053,-22252.833037735727,4.3503776998544605,-2.1156800436076988e7,-143400.32633976548
3404,0.2959,-0.3037,1.3762606199020574e7,84880.86008441604,-23282.916490967255,10.61883725915333,-2.229737899195623e7,-153690.80988770552
3405,0.3123,-0.2942,1.3584933782699402e7,86799.53550863704,-24636.02275098427,30.230994559721243,-2.3509476119747076e7,-166796.34871364292
3406,0.3288,-0.2847,1.3565935572058978e7,88692.5917133224,-26415.55692697281,99.6020249771116,-2.4891000008274548e7,-183372.81486728892
3407,0.3452,-0.2752,1.3660910550415607e7,90402.27057222642,-28780.150332656038,373.89320705380027,-2.6629892054759637e7,-204464.18898015248
3408,0.3616,-0.2657,1.3792057363943113e7,91766.74886349119,-32032.464117371495,1585.4445385410784,-2.9049585909441005e7,-232193.59715351884
3409,0.3781,-0.2562,1.3895332847543875e7,92629.23008688877,-36650.42838478122,7275.772347049059,-3.26630417857117e7,-270088.3977019517
3410,0.3945,-0.2468,1.3962180330876356e7,92843.80224566921,-43624.57810369626,35208.42382244333,-3.8634742013054855e7,-325867.6526380047
3411,0.4109,-0.2373,1.4052442282350399e7,92278.80339634012,-53343.983573139594,148120.8101510265,-4.8255249258742645e7,-403616.6189468489
3412,0.4274,-0.2278,1.4272756743616953e7,90820.63371927697,-58609.12618376226,317923.02506589366,-5.7597764687687926e7,-449457.64709121524
3413,0.4438,-0.2183,1.473545903941665e7,88381.68561565991,-48930.77953653646,190034.48531153935,-5.544735756357901e7,-377309.51447773044
3414,0.4603,-0.2088,1.5521961256861e7,84914.66163014887,-37096.37715395502,49532.428364486805,-4.9380935102528945e7,-280760.8590595418
3415,0.4767,-0.1993,1.6666766692563564e7,80432.24863113463,-29972.51274865772,10673.123379549235,-4.669463478413744e7,-217412.30568242507
3416,0.4931,-0.1898,1.8161645663004868e7,75027.11655179938,-25798.226195523388,2394.1413795470735,-4.6971532367176905e7,-176114.23581535247
3417,0.5096,-0.1803,1.996784558864584e7,68884.38415696514,-23124.467726209175,601.2033569709035,-4.9184009999722295e7,-146337.15930021086
3418,0.526,-0.1708,2.202558039544014e7,62278.73610359596,-21289.348654857025,175.71981295633807,-5.273280127333642e7,-123235.09227793413
3419,0.5425,-0.1613,2.426044524321373e7,55552.00494685013,-19971.817246347906,60.34184902192219,-5.718420279062789e7,-104618.78016177198
3420,0.5589,-0.1518,2.6594224097974695e7,49073.21272546511,-19041.38533856164,25.31050705734445,-6.2325604790740974e7,-89656.18030840992
3421,0.5753,-0.1424,2.8964542631358895e7,43189.34393559974,-18387.0324963287,12.86567377164586,-6.796894392664799e7,-77731.66851076245
3422,0.5918,-0.1329,3.134669659757358e7,38178.77354426612,-17963.777566905967,8.04623976042859,-7.417234881006987e7,-68588.15524323918
3423,0.6082,-0.1234,3.376282530981021e7,34218.72522065818,-17723.699278080927,6.097845708897474,-8.09905599896008e7,-61939.80217661519
3424,0.6246,-0.1139,3.626744043026009e7,31373.74913165714,-17643.61010047268,5.55842466581242,-8.847887158403799e7,-57565.23751026195
3425,0.6411,-0.1044,3.8912727397456266e7,29605.900422982544,-17712.131947179827,6.048045103634757,-9.682153810417192e7,-55241.81137334196
3426,0.6575,-0.0949,4.171127211372736e7,28801.473873277664,-17926.88507608398,7.795095822017925,-1.0630516446474615e8,-54750.97154844971
